title,duration_seconds,day_of_week,month,views_lifetime,subs_lifetime
The 49ers’ Biggest Rival Isn’t a Team… It’s Injuries,2997.0,2,7,1479.0,2.0
Injuries Are Piling Up for NFL Quarterbacks Early,4281.0,1,8,1451.0,0.0
"Another Pre-season 49ers Injury? Sure, why not?",5545.0,5,7,1450.0,-1.0
49ers Have New Name To Consider Before NFL Draft Begins,7254.0,3,3,1449.0,3.0
PREVIEW: 49ers vs Dolphins - Who Will Win? | Krueger & Bruce,5964.0,5,11,1448.0,0.0
Could Joey Bosa Join Nick Bosa with the 49ers - Huge NFL News To Discuss,5149.0,3,2,1438.0,5.0
Deebo Samuel's Time w/ 49ers Will End Soon,3122.0,5,1,1413.0,6.0
Shanahan & York Speak at Owners Meeting - Lund joins Damon,4817.0,1,3,1411.0,-2.0
CRAZY: Trent Baalke's Firing Helps The 49ers Secure Robert Saleh,4295.0,4,0,1409.0,0.0
Warriors Recap Live From Chase Center,1126.0,3,3,1402.0,5.0
Brock Purdy's Next Step: MVP Run or Letdown?,3429.0,3,6,1398.0,1.0
49ers Escape Seattle Win An Ugly Win,3309.0,1,8,1396.0,4.0
Should The 49ers Bolster Their DL And Trade For Trey Hendrickson?,5857.0,1,3,1388.0,0.0
Robert Saleh Is Close To 49ers Return,3150.0,5,0,1383.0,1.0
49ers Beat Bears In Best Performance of 2024,3288.0,1,11,1381.0,4.0
The 49ers Got Smacked by Reality in Houston,3025.0,1,9,1368.0,2.0
Gambling Nightmare Hits NBA. Who's Next?,3452.0,4,9,1368.0,0.0
49ers Fans Get the Mic — CALL IN Tonight!,2331.0,4,8,1356.0,6.0
Curry & Warriors Outshoot Klay's Return,3375.0,3,10,1348.0,1.0
49ers’ Year 2 Players: The Hidden X-Factor? Damon & Lund,4994.0,3,6,1346.0,0.0
49ers Mid Round / Mid Life Success Makes or Breaks You,5104.0,1,2,1341.0,4.0
Warriors Need 2-0 Finish To Avoid Play In Tournament,2041.0,5,3,1319.0,5.0
49ers Center Situation Could Derail Everything,2895.0,3,7,1315.0,1.0
Myles Garrett Demands Trade From Browns - Should The 49ers Make A Move?,6549.0,1,1,1296.0,-1.0
What Is The 49ers Best Option At QB Next Season? | Krueger & Bruce,3457.0,3,11,1289.0,-1.0
NFL Becomes America's Complaint Department,5940.0,4,2,1285.0,1.0
"Curry, Jimmy, Dray BIG win in Memphis - Dubs Weekly w/ Damon & Cyrus",6309.0,3,3,1285.0,1.0
"49ers Training Camp OFFICIALLY BEGINS! - Biggest Story Lines, Breakout Candidates + NFL News...",3161.0,1,6,1283.0,2.0
BREAKING: The 49ers Sign CB Tre Brown – Why He Came To The 49ers...,6350.0,2,2,1281.0,2.0
How Are The 49ers ELITE on 3rd Down?,2052.0,3,9,1270.0,1.0
49ers Camp Rules:: Thou Shalt Not Screw This Up!,2610.0,5,6,1266.0,0.0
"49ers Re-Activate ""Survival Mode"" As They Head To NY",5566.0,5,10,1256.0,-1.0
Warriors Fall Into Play In Problems,2972.0,1,3,1255.0,4.0
Warriors Weekly - NBA Trade Deadline w/ Mark Medina,3767.0,3,1,1254.0,4.0
State of Bay Area Sports - Tim Kawakami joins Damon,3173.0,5,2,1245.0,3.0
Breaking Down ESPN’s Bold RedZone Takeover,7296.0,3,7,1244.0,0.0
49ers SLEEPER Wide Receiver Who Could Unlock Brock Purdy’s Full Potential,5972.0,5,3,1241.0,2.0
Will Brock Purdy Play at Lambeau on Sunday?,3431.0,5,10,1238.0,2.0
49ers Update: Brandon Aiyuk Injury News and Timeline - Should SF Draft A Replacement?,5684.0,5,2,1232.0,1.0
"LeBron Gets Luka, Steph Gets Nada",2584.0,1,1,1208.0,0.0
UPDATE: Bosa Family Teases Nick & Joey Bosa Teaming Up on the 49ers...,6262.0,1,1,1202.0,0.0
Filling The 49ers 11 Needs - How Lynch Can Upgrade Positions In The Draft?,6474.0,1,3,1201.0,1.0
Chiefs Back In The Super Bowl,3194.0,1,0,1197.0,2.0
UPDATE: The 49ers are FIVE Days Away From The Start Of Training Camp Practices! | Krueger & Bruce,4512.0,5,6,1197.0,0.0
49ers Stress Test In New Orleans,3074.0,5,8,1195.0,2.0
Aaron Rodgers Is Back In Our Football Lives? Great. Sammy joins Damon,5021.0,5,5,1187.0,-1.0
Should The 49ers Be Confident In Brock Purdy After The NFL Playoffs?,6090.0,3,1,1186.0,0.0
49ers Defensive Puzzle: Can Saleh & Lynch Fix the Secondary? | Krueger & Bruce,4607.0,1,6,1179.0,2.0
49ers Sending the JV Team To Los Angeles,3790.0,3,9,1178.0,0.0
UPDATE: 49ers Bryce Huff Is NOT on ESPN's Top 50 Moves 🤯 FULL NFL Offseason Review,4552.0,3,6,1175.0,1.0
Elite Backfields = Super Bowl Contenders,4638.0,4,8,1166.0,1.0
"LIVE 49ers Free Agency: Dre Greenlaw, Banks, And Ward Gone? – Who Will Come To SF?",6349.0,1,2,1164.0,1.0
Brock vs. Baker / 49ers vs. Buccaneers,2038.0,5,10,1159.0,2.0
Steph Curry Falls As Warriors Win - Sam & Andy (Light Years Pod) join Damon,3327.0,5,2,1146.0,3.0
"49ers Win A Game, Lose A Player (Again)",3032.0,1,10,1138.0,0.0
Draymond Green Calls Out the League — Again,1441.0,2,6,1134.0,0.0
49ers Season Hinges On Two Men,4372.0,1,3,1125.0,0.0
Jimmy Butler & Luka Dončić Revive NBA's Most Important Franchises,2822.0,2,1,1125.0,0.0
"49ers Big Decision: Should They Part Ways With Samuel, Greenlaw, & Hufanga?",5467.0,5,1,1120.0,1.0
QB VIBES CHECK: Who’s Got It? Damon & Sammy,6392.0,4,6,1118.0,-1.0
49ers Free Agency Wish List Will Be Hard To Fill,3334.0,2,1,1116.0,1.0
The NFL’s Richest QB History — Who Owns the Throne?,5590.0,4,7,1110.0,0.0
The 49ers’ Biggest Questions Heading Into the NFL Combine | Krueger & Bruce,6281.0,1,1,1107.0,4.0
"The NBA, Curry, and Nick Friedell ARE ALL BACK! 10 Burning Questions",2398.0,3,9,1104.0,2.0
Warriors Weekly - Buttler & Curry Fit Well w/ Damon & Cyrus,4141.0,3,1,1095.0,3.0
Warriors & Curry Need This Tonight!,2942.0,5,4,1094.0,2.0
Can Christian McCaffrey Still Dominate?,3225.0,1,6,1082.0,1.0
49ers DO NOT Draft This Player at Pick 11 – John Lynch Draft Strategy Breakdown,5874.0,1,2,1079.0,1.0
Could The 49ers Draft Ashton Jeanty Or Another TOP RB Early In The NFL Draft?,4905.0,5,3,1077.0,0.0
49ers Bring New Blood To New York on Sunday,3669.0,5,10,1075.0,2.0
ONE MAN OFFENSE,3446.0,2,9,1073.0,1.0
Week 8: The NFL Starts Separating the Men from the Boys,5374.0,5,9,1071.0,1.0
49ers Extend George Kittle w/ Huge Deal,3224.0,2,3,1068.0,1.0
UPDATE: Insider Believes Brandon Aiyuk Be Ready By Week 1 - What It Means For Brock Purdy & SF...,5675.0,5,6,1064.0,2.0
49ers Rookies Report - Damon’s in Santa Clara,1070.0,3,4,1061.0,3.0
"Latest 49ers Combine News: Top Prospects, Workout Warriors, & Dre Greenlaw...",5727.0,5,2,1057.0,1.0
Should The 49ers Trade For Terry McLaurin? Late Offseason Move For SF | Krueger & Bruce,4182.0,3,7,1053.0,-1.0
Instant Reaction: Warriors vs Timberwolves Game 2 - Postgame Show LIVE,7224.0,4,4,1051.0,0.0
Debate: Would Signing Joey Bosa Be The Right Move For The 49ers? | Krueger & Bruce,5344.0,5,2,1046.0,0.0
Stephen Curry Reigns Over MSG,6325.0,3,2,1046.0,4.0
Why A 49ers Victory Over Buccaneers Is VITAL! | Krueger & Bruce,5167.0,5,10,1045.0,0.0
HUGE Headlines: What Everyone’s Talking About!,3649.0,3,5,1044.0,4.0
49ers vs. Saints / First Look w/ Damon & Hold The Mayo,1668.0,5,8,1022.0,2.0
NFL Divisional Round Preview: From Eagles vs Rams to Bills vs Ravens,5569.0,5,0,1015.0,0.0
#1 Take Away From Postseason Play,3855.0,2,0,1006.0,1.0
Warriors Still Run NBA Interest,3482.0,5,7,1003.0,1.0
Alpha Dogs Set The Tone - Who Barks The Loudest From The Bay?,3390.0,3,9,986.0,-1.0
Lakers Sell for RECORD $10 Billion – Who’s Next?,5376.0,4,5,976.0,1.0
49ers Gotta Execute - Emotional Sports Week For The Bay,3739.0,5,10,975.0,0.0
49ers Dance Around the Margins,5781.0,1,2,965.0,1.0
49ers Add Fifth Rounder To Upcoming Draft,2809.0,0,2,963.0,1.0
Trouble In (Sports) Paradise - Damon & Sammy,5624.0,5,4,960.0,1.0
An Amazing Moment In Time - RIP Rocco,1931.0,5,4,957.0,-1.0
Bay Area Sports Are Stuck In The Middle,2574.0,4,0,951.0,1.0
49ers Preseason: 5 Things Every Fan Needs to See,2502.0,5,7,937.0,1.0
Golden State Tailbone Tailspin - Warriors Weekly w/ Damon & Cyrus,6839.0,3,2,936.0,2.0
"Trenches, Benches, Pushes & Pain - NFL News w/ Damon & Sammy",5536.0,4,3,929.0,-1.0
Andre Iguodala Was A Better Warrior Than He Was A Player,3518.0,1,1,905.0,0.0
McCaffrey Ready To Roll in Tampa - Damon joins Brad Graham,3697.0,4,10,898.0,4.0
Warriors Welcome Dennis Schröder,3284.0,3,11,879.0,0.0
The NFL Crazy To Allow Flag Football,3297.0,3,4,869.0,0.0
NFL's Divisional Round Should Be Great,2431.0,1,0,841.0,3.0
Steph Curry Beats Suns - 3 Games Left - Warriors Weekly w/ Damon & Cyrus,5992.0,3,3,833.0,-1.0
The Super Bowl We Deserve - Fortenbaugh & Sammy join Damon,5680.0,4,1,829.0,0.0
Warriors Free Agency Plan—Boom or Bust?,3674.0,1,6,823.0,2.0
"New NFL Rules - Good Ideas, Bad Ideas",5141.0,4,2,820.0,1.0
HISTORY MADE! Giants’ INSANE Walk-Off Win,2585.0,3,6,819.0,0.0
49ers PRESSURE: It's Ricky Pearsall's Turn To STEP UP - Who Has The Most Pressure In 2025?,3733.0,2,6,790.0,0.0
49ers Perfect Free Agency Plan To Get Back To The Super Bowl...  | Krueger & Bruce,4796.0,3,1,777.0,0.0
What Actually Gets Fans to Watch? Damon & Sammy,3393.0,4,5,768.0,1.0
"Worst Time Of Sports Year Is Over, WE MADE IT!",6310.0,5,1,760.0,2.0
What's An Icon Worth? Caitlin Clark? LeBon? Steph?,4307.0,2,1,745.0,0.0
Warriors Talk with Damon & Cyrus,3318.0,3,10,736.0,2.0
49ers / Warriors / Giants / White Lotus in Review,3186.0,1,3,731.0,-1.0
"Brock & Haliburton - ""Underrated"" Is The Brand",3752.0,1,5,708.0,0.0
Warriors Wednesday - Jimmy Butler Rumors Gotta Stop,3093.0,3,11,696.0,-2.0
Warriors Weekly - Zion Is An Option,3144.0,3,0,675.0,3.0
NFL Insider Squabble-Up! Who Wins?,4182.0,4,1,661.0,0.0
Warriors Weekly Recap w/ Damon & Cyrus,3656.0,5,0,644.0,1.0
Warriors Wednesday - Damon & Cyrus Talk Golden State,4092.0,3,10,641.0,0.0
Warriors Weekly - Sprint To The Finish Line Starts Now.,3769.0,3,1,577.0,0.0
Warriors Weekly - Golden State Reaches Tipping Point,2985.0,3,0,546.0,2.0
Warriors Weekly - Worst Home Loss Of Kerr Era,3070.0,3,0,507.0,1.0
